id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
25,"Omaxe Ltd","Bikaner","Rajasthan","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000148,purchase@omaxeltdbuild.in,43750,"Verified RERA Active"
26,"Eldeco Group","Karnal","Haryana","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000153,purchase@eldecogroupbuild.in,44500,"Verified RERA Active"
27,"Signature Global","Patiala","Punjab","Multi-Story Residential Towers","National Tier-1 Conglomerate","Vice President - Contracts",+919700000158,purchase@signatureglobalbuild.in,45250,"Verified RERA Active"
28,"M3M India","Rudrapur","Uttarakhand","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000163,purchase@mmindiabuild.in,46000,"Verified RERA Active"
29,"Smartworld Developers","Kullu","Himachal Pradesh","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000168,purchase@smartworlddevelbuild.in,46750,"Verified RERA Active"
30,"BPTP Ltd","Srinagar","Jammu & Kashmir","Multi-Story Residential Towers","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000173,purchase@bptpltdbuild.in,47500,"Verified RERA Active"
31,"Vipul Ltd","Pune","Maharashtra","Multi-Story Residential Towers","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000178,purchase@vipulltdbuild.in,48250,"Verified RERA Active"
32,"Raheja Developers","Jamnagar","Gujarat","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Vice President - Contracts",+919700000183,purchase@rahejadeveloperbuild.in,49000,"Verified RERA Active"
33,"Casagrand Builder","Dewas","Madhya Pradesh","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000188,purchase@casagrandbuildebuild.in,49750,"Verified RERA Active"
34,"Appaswamy Real Estates","Durg","Chhattisgarh","Multi-Story Residential Towers","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000193,purchase@appaswamyrealesbuild.in,50500,"Verified RERA Active"
35,"Akshaya Pvt Ltd","Panaji","Goa","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000198,purchase@akshayapvtltdbuild.in,51250,"Verified RERA Active"
36,"Alliance Group","Belagavi","Karnataka","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000203,purchase@alliancegroupbuild.in,52000,"Verified RERA Active"
37,"Navin Housing","Tiruppur","Tamil Nadu","Multi-Story Residential Towers","National Tier-1 Conglomerate","Vice President - Contracts",+919700000208,purchase@navinhousingbuild.in,52750,"Verified RERA Active"
38,"Aparna Constructions","Nizamabad","Telangana","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000213,purchase@aparnaconstructbuild.in,53500,"Verified RERA Active"
39,"My Home Group","Kakinada","Andhra Pradesh","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000218,purchase@myhomegroupbuild.in,54250,"Verified RERA Active"
40,"Rajapushpa Properties","Thiruvananthapuram","Kerala","Multi-Story Residential Towers","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000223,purchase@rajapushpapropebuild.in,55000,"Verified RERA Active"
41,"Ramky Estates","Howrah","West Bengal","Multi-Story Residential Towers","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000228,purchase@ramkyestatesbuild.in,55750,"Verified RERA Active"
42,"Jayabheri Properties","Bhagalpur","Bihar","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Vice President - Contracts",+919700000233,purchase@jayabheriproperbuild.in,56500,"Verified RERA Active"
43,"Total Environment","Cuttack","Odisha","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000238,purchase@totalenvironmenbuild.in,57250,"Verified RERA Active"
44,"Assetz Property Group","Dhanbad","Jharkhand","Multi-Story Residential Towers","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000243,purchase@assetzpropertygbuild.in,58000,"Verified RERA Active"
45,"Shriram Properties","Guwahati","Assam & NE","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000248,purchase@shrirampropertibuild.in,58750,"Verified RERA Active"
46,"Bhartiya City Developers","Faridabad","Delhi NCR","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000253,purchase@bhartiyacitydevbuild.in,59500,"Verified RERA Active"
47,"Ambuja Neotia","Agra","Uttar Pradesh","Multi-Story Residential Towers","National Tier-1 Conglomerate","Vice President - Contracts",+919700000258,purchase@ambujaneotiabuild.in,60250,"Verified RERA Active"
48,"PS Group","Ajmer","Rajasthan","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000263,purchase@psgroupbuild.in,61000,"Verified RERA Active"
49,"Mani Group","Ambala","Haryana","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000268,purchase@manigroupbuild.in,61750,"Verified RERA Active"
50,"Merlin Group","Jalandhar","Punjab","Multi-Story Residential Towers","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000273,purchase@merlingroupbuild.in,62500,"Verified RERA Active"
51,"Siddha Group","Haldwani","Uttarakhand","Multi-Story Residential Towers","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000278,purchase@siddhagroupbuild.in,63250,"Verified RERA Active"
52,"Forum Group","Baddi Industrial Zone","Himachal Pradesh","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Vice President - Contracts",+919700000283,purchase@forumgroupbuild.in,64000,"Verified RERA Active"
53,"Udhampur B Projects India","Udhampur","Jammu & Kashmir","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000288,purchase@udhampurbprojecbuild.in,64750,"Verified RERA Active"
54,"Nashik C Buildtech India Pvt Ltd","Nashik","Maharashtra","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700000293,purchase@nashikcbuildtecbuild.in,65500,"Verified RERA Active"
55,"Surat D Civil Engineering Developers","Surat","Gujarat","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000298,purchase@suratdcivilengibuild.in,66250,"Verified RERA Active"
56,"Jabalpur E Living Spaces LLP","Jabalpur","Madhya Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000303,purchase@jabalpurelivingbuild.in,67000,"Verified RERA Active"
57,"Korba F Projects India","Korba","Chhattisgarh","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700000308,purchase@korbafprojectsibuild.in,67750,"Verified RERA Active"
58,"Mapusa G Buildtech India Pvt Ltd","Mapusa","Goa","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000313,purchase@mapusagbuildtecbuild.in,68500,"Verified RERA Active"
59,"Mangaluru H Civil Engineering Developers","Mangaluru","Karnataka","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000318,purchase@mangaluruhcivilbuild.in,69250,"Verified RERA Active"
60,"Salem I Living Spaces LLP","Salem","Tamil Nadu","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700000323,purchase@salemilivingspabuild.in,70000,"Verified RERA Active"
61,"Warangal J Living Spaces LLP","Warangal","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000328,purchase@warangaljlivingbuild.in,70750,"Verified RERA Active"
62,"Tirupati K Projects India","Tirupati","Andhra Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000333,purchase@tirupatikprojecbuild.in,71500,"Verified RERA Active"
63,"Palakkad L Buildtech India Pvt Ltd","Palakkad","Kerala","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700000338,purchase@palakkadlbuildtbuild.in,72250,"Verified RERA Active"
64,"Kolkata M Civil Engineering Developers","Kolkata","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000343,purchase@kolkatamcivilenbuild.in,73000,"Verified RERA Active"
65,"Gaya N Living Spaces LLP","Gaya","Bihar","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000348,purchase@gayanlivingspacbuild.in,73750,"Verified RERA Active"
66,"Berhampur O Projects India","Berhampur","Odisha","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700000353,purchase@berhampuroprojebuild.in,74500,"Verified RERA Active"
67,"Jamshedpur P Buildtech India Pvt Ltd","Jamshedpur","Jharkhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000358,purchase@jamshedpurpbuilbuild.in,75250,"Verified RERA Active"
68,"Shillong Q Civil Engineering Developers","Shillong","Assam & NE","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000363,purchase@shillongqcivilebuild.in,76000,"Verified RERA Active"
69,"Greater R Living Spaces LLP","Greater Noida","Delhi NCR","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700000368,purchase@greaterrlivingsbuild.in,76750,"Verified RERA Active"
70,"Prayagraj S Projects India","Prayagraj","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000373,purchase@prayagrajsprojebuild.in,77500,"Verified RERA Active"
71,"Udaipur T Projects India","Udaipur","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000378,purchase@udaipurtprojectbuild.in,78250,"Verified RERA Active"
72,"Panipat U Buildtech India Pvt Ltd","Panipat","Haryana","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700000383,purchase@panipatubuildtebuild.in,79000,"Verified RERA Active"
73,"Amritsar V Civil Engineering Developers","Amritsar","Punjab","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000388,purchase@amritsarvcivilebuild.in,79750,"Verified RERA Active"
74,"Roorkee W Living Spaces LLP","Roorkee","Uttarakhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000393,purchase@roorkeewlivingsbuild.in,80500,"Verified RERA Active"
75,"Mandi X Projects India","Mandi","Himachal Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700000398,purchase@mandixprojectsibuild.in,81250,"Verified RERA Active"
76,"Kathua Y Buildtech India Pvt Ltd","Kathua","Jammu & Kashmir","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000403,purchase@kathuaybuildtecbuild.in,82000,"Verified RERA Active"
77,"Kolhapur Z Civil Engineering Developers","Kolhapur","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000408,purchase@kolhapurzcivilebuild.in,82750,"Verified RERA Active"
78,"Gandhinagar A Living Spaces LLP","Gandhinagar","Gujarat","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700000413,purchase@gandhinagaralivbuild.in,83500,"Verified RERA Active"
79,"Satna B Projects India","Satna","Madhya Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000418,purchase@satnabprojectsibuild.in,84250,"Verified RERA Active"
80,"Bilaspur C Buildtech India Pvt Ltd","Bilaspur","Chhattisgarh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000423,purchase@bilaspurcbuildtbuild.in,85000,"Verified RERA Active"
81,"Margao D Buildtech India Pvt Ltd","Margao","Goa","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700000428,purchase@margaodbuildtecbuild.in,85750,"Verified RERA Active"
82,"Hubballi-Dharwad E Civil Engineering Developers","Hubballi-Dharwad","Karnataka","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000433,purchase@hubballidharwadbuild.in,86500,"Verified RERA Active"
83,"Tiruchirappalli F Living Spaces LLP","Tiruchirappalli","Tamil Nadu","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000438,purchase@tiruchirappallibuild.in,87250,"Verified RERA Active"
84,"Hyderabad G Projects India","Hyderabad","Telangana","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700000443,purchase@hyderabadgprojebuild.in,88000,"Verified RERA Active"
85,"Rajahmundry H Buildtech India Pvt Ltd","Rajahmundry","Andhra Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000448,purchase@rajahmundryhbuibuild.in,88750,"Verified RERA Active"
86,"Alappuzha I Civil Engineering Developers","Alappuzha","Kerala","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000453,purchase@alappuzhaicivilbuild.in,89500,"Verified RERA Active"
87,"Kharagpur J Living Spaces LLP","Kharagpur","West Bengal","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700000458,purchase@kharagpurjlivinbuild.in,90250,"Verified RERA Active"
88,"Patna K Projects India","Patna","Bihar","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000463,purchase@patnakprojectsibuild.in,91000,"Verified RERA Active"
89,"Puri L Buildtech India Pvt Ltd","Puri","Odisha","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000468,purchase@purilbuildtechibuild.in,91750,"Verified RERA Active"
90,"Ranchi M Civil Engineering Developers","Ranchi","Jharkhand","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700000473,purchase@ranchimcivilengbuild.in,92500,"Verified RERA Active"
91,"Silchar N Civil Engineering Developers","Silchar","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000478,purchase@silcharncivilenbuild.in,93250,"Verified RERA Active"
92,"Noida O Living Spaces LLP","Noida","Delhi NCR","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000483,purchase@noidaolivingspabuild.in,94000,"Verified RERA Active"
93,"Meerut P Projects India","Meerut","Uttar Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700000488,purchase@meerutpprojectsbuild.in,94750,"Verified RERA Active"
94,"Bhilwara Q Buildtech India Pvt Ltd","Bhilwara","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000493,purchase@bhilwaraqbuildtbuild.in,95500,"Verified RERA Active"
95,"Panchkula R Civil Engineering Developers","Panchkula","Haryana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000498,purchase@panchkularcivilbuild.in,96250,"Verified RERA Active"
96,"Ludhiana S Living Spaces LLP","Ludhiana","Punjab","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700000503,purchase@ludhianaslivingbuild.in,97000,"Verified RERA Active"
97,"Haridwar T Projects India","Haridwar","Uttarakhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000508,purchase@haridwartprojecbuild.in,97750,"Verified RERA Active"
98,"Solan U Buildtech India Pvt Ltd","Solan","Himachal Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000513,purchase@solanubuildtechbuild.in,98500,"Verified RERA Active"
99,"Baramulla V Civil Engineering Developers","Baramulla","Jammu & Kashmir","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700000518,purchase@baramullavcivilbuild.in,99250,"Verified RERA Active"
100,"Mumbai W Living Spaces LLP","Mumbai","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000523,purchase@mumbaiwlivingspbuild.in,100000,"Verified RERA Active"
101,"Vadodara X Living Spaces LLP","Vadodara","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000528,purchase@vadodaraxlivingbuild.in,100750,"Verified RERA Active"
102,"Gwalior Y Projects India","Gwalior","Madhya Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700000533,purchase@gwalioryprojectbuild.in,101500,"Verified RERA Active"
103,"Bhilai Z Buildtech India Pvt Ltd","Bhilai","Chhattisgarh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000538,purchase@bhilaizbuildtecbuild.in,102250,"Verified RERA Active"
104,"Ponda A Civil Engineering Developers","Ponda","Goa","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000543,purchase@pondaacivilengibuild.in,103000,"Verified RERA Active"
105,"Mysuru B Living Spaces LLP","Mysuru","Karnataka","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700000548,purchase@mysurublivingspbuild.in,103750,"Verified RERA Active"
106,"Madurai C Projects India","Madurai","Tamil Nadu","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000553,purchase@maduraicprojectbuild.in,104500,"Verified RERA Active"
107,"Secunderabad D Buildtech India Pvt Ltd","Secunderabad","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000558,purchase@secunderabaddbubuild.in,105250,"Verified RERA Active"
108,"Kurnool E Civil Engineering Developers","Kurnool","Andhra Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700000563,purchase@kurnoolecivilenbuild.in,106000,"Verified RERA Active"
109,"Kannur F Living Spaces LLP","Kannur","Kerala","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000568,purchase@kannurflivingspbuild.in,106750,"Verified RERA Active"
110,"Malda G Projects India","Malda","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000573,purchase@maldagprojectsibuild.in,107500,"Verified RERA Active"
111,"Arrah H Projects India","Arrah","Bihar","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700000578,purchase@arrahhprojectsibuild.in,108250,"Verified RERA Active"
112,"Bhubaneswar I Buildtech India Pvt Ltd","Bhubaneswar","Odisha","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000583,purchase@bhubaneswaribuibuild.in,109000,"Verified RERA Active"
113,"Hazaribagh J Civil Engineering Developers","Hazaribagh","Jharkhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000588,purchase@hazaribaghjcivibuild.in,109750,"Verified RERA Active"
114,"Agartala K Living Spaces LLP","Agartala","Assam & NE","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700000593,purchase@agartalaklivingbuild.in,110500,"Verified RERA Active"
115,"Gurugram L Projects India","Gurugram","Delhi NCR","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000598,purchase@gurugramlprojecbuild.in,111250,"Verified RERA Active"
116,"Bareilly M Buildtech India Pvt Ltd","Bareilly","Uttar Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700000603,purchase@bareillymbuildtbuild.in,112000,"Verified RERA Active"
117,"Alwar N Civil Engineering Developers","Alwar","Rajasthan","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700000608,purchase@alwarncivilengibuild.in,112750,"Verified RERA Active"
118,"Yamunanagar O Living Spaces LLP","Yamunanagar","Haryana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000613,purchase@yamunanagarolivbuild.in,113500,"Verified RERA Active"
119,"Hoshiarpur P Projects India","Hoshiarpur","Punjab","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000618,purchase@hoshiarpurpprojbuild.in,114250,"Verified RERA Active"
120,"Dehradun Q Buildtech India Pvt Ltd","Dehradun","Uttarakhand","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700000623,purchase@dehradunqbuildtbuild.in,115000,"Verified RERA Active"
121,"Dharamshala R Buildtech India Pvt Ltd","Dharamshala","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000628,purchase@dharamshalarbuibuild.in,115750,"Verified RERA Active"
122,"Anantnag S Civil Engineering Developers","Anantnag","Jammu & Kashmir","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700000633,purchase@anantnagscivilebuild.in,116500,"Verified RERA Active"
123,"Thane T Living Spaces LLP","Thane","Maharashtra","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700000638,purchase@thanetlivingspabuild.in,117250,"Verified RERA Active"
124,"Vapi U Projects India","Vapi","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700000643,purchase@vapiuprojectsinbuild.in,118000,"Verified RERA Active"
125,"Ratlam V Buildtech India Pvt Ltd","Ratlam","Madhya Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700000648,purchase@ratlamvbuildtecbuild.in,118750,"Verified RERA Active"
126,"Raipur W Civil Engineering Developers","Raipur","Chhattisgarh","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700000653,purchase@raipurwcivilengbuild.in,119500,"Verified RERA Active"
127,"Vasco X Living Spaces LLP","Vasco da Gama","Goa","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700000658,purchase@vascoxlivingspabuild.in,120250,"Verified RERA Active"
128,"Bengaluru Y Projects India","Bengaluru","Karnataka","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700000663,purchase@bengaluruyprojebuild.in,121000,"Verified RERA Active"
129,"Coimbatore Z Buildtech India Pvt Ltd","Coimbatore","Tamil Nadu","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700000668,purchase@coimbatorezbuilbuild.in,121750,"Verified RERA Active"
130,"Khammam A Civil Engineering Developers","Khammam","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700000673,purchase@khammamacivilenbuild.in,122500,"Verified RERA Active"
131,"Nellore B Civil Engineering Developers","Nellore","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700000678,purchase@nellorebcivilenbuild.in,123250,"Verified RERA Active"
