id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
18,"Miraj Group (Real Estate)",Udaipur,"Commercial, Residential & Multiplexes","Mewar Mega Conglomerate","Project Director - Finishes (Udaipur)",+919829010054,purchase@mirajgrouprealestate.com,155000
19,"Archi Group",Udaipur,"Luxury Lake-View Towers & Hotels","Luxury Developer","Contracts & Tenders Head (Udaipur)",+919829010057,purchase@archigroup.com,170000
20,"Om Infra Homes",Kota,"High-Rise Apartments & Student Hostels","Kota Market Leader","Chief Materials Manager (Kota)",+919829010060,purchase@ominfrahomes.com,185000
21,"Jaipur V Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829010147,procurement@jaipurbuild21.in,22350
22,"Jodhpur W Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829010154,procurement@jodhpurbuild22.in,22700
23,"Udaipur X Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829010161,procurement@udaipurbuild23.in,23050
24,"Kota Y Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829010168,procurement@kotabuild24.in,23400
25,"Alwar Z Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829010175,procurement@alwarbuild25.in,23750
26,"Ajmer A Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829010182,procurement@ajmerbuild26.in,24100
27,"Bhilwara B Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829010189,procurement@bhilwarabuild27.in,24450
28,"Jaipur C Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829010196,procurement@jaipurbuild28.in,24800
29,"Jodhpur D Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829010203,procurement@jodhpurbuild29.in,25150
30,"Udaipur E Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829010210,procurement@udaipurbuild30.in,25500
31,"Kota F Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829010217,procurement@kotabuild31.in,25850
32,"Alwar G Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829010224,procurement@alwarbuild32.in,26200
33,"Ajmer H Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829010231,procurement@ajmerbuild33.in,26550
34,"Bhilwara I Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829010238,procurement@bhilwarabuild34.in,26900
35,"Jaipur J Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829010245,procurement@jaipurbuild35.in,27250
36,"Jodhpur K Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829010252,procurement@jodhpurbuild36.in,27600
37,"Udaipur L Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829010259,procurement@udaipurbuild37.in,27950
38,"Kota M Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829010266,procurement@kotabuild38.in,28300
39,"Alwar N Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829010273,procurement@alwarbuild39.in,28650
40,"Ajmer O Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829010280,procurement@ajmerbuild40.in,29000
41,"Bhilwara P Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829010287,procurement@bhilwarabuild41.in,29350
42,"Jaipur Q Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829010294,procurement@jaipurbuild42.in,29700
43,"Jodhpur R Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829010301,procurement@jodhpurbuild43.in,30050
44,"Udaipur S Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829010308,procurement@udaipurbuild44.in,30400
45,"Kota T Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829010315,procurement@kotabuild45.in,30750
46,"Alwar U Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829010322,procurement@alwarbuild46.in,31100
47,"Ajmer V Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829010329,procurement@ajmerbuild47.in,31450
48,"Bhilwara W Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829010336,procurement@bhilwarabuild48.in,31800
49,"Jaipur X Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829010343,procurement@jaipurbuild49.in,32150
50,"Jodhpur Y Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829010350,procurement@jodhpurbuild50.in,32500
51,"Udaipur Z Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829010357,procurement@udaipurbuild51.in,32850
52,"Kota A Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829010364,procurement@kotabuild52.in,33200
53,"Alwar B Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829010371,procurement@alwarbuild53.in,33550
54,"Ajmer C Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829010378,procurement@ajmerbuild54.in,33900
55,"Bhilwara D Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829010385,procurement@bhilwarabuild55.in,34250
56,"Jaipur E Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829010392,procurement@jaipurbuild56.in,34600
57,"Jodhpur F Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829010399,procurement@jodhpurbuild57.in,34950
58,"Udaipur G Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829010406,procurement@udaipurbuild58.in,35300
59,"Kota H Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829010413,procurement@kotabuild59.in,35650
60,"Alwar I Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829010420,procurement@alwarbuild60.in,36000
61,"Ajmer J Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829010427,procurement@ajmerbuild61.in,36350
62,"Bhilwara K Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829010434,procurement@bhilwarabuild62.in,36700
63,"Jaipur L Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829010441,procurement@jaipurbuild63.in,37050
64,"Jodhpur M Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829010448,procurement@jodhpurbuild64.in,37400
65,"Udaipur N Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829010455,procurement@udaipurbuild65.in,37750
66,"Kota O Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829010462,procurement@kotabuild66.in,38100
67,"Alwar P Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829010469,procurement@alwarbuild67.in,38450
68,"Ajmer Q Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829010476,procurement@ajmerbuild68.in,38800
69,"Bhilwara R Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829010483,procurement@bhilwarabuild69.in,39150
70,"Jaipur S Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829010490,procurement@jaipurbuild70.in,39500
71,"Jodhpur T Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829010497,procurement@jodhpurbuild71.in,39850
72,"Udaipur U Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829010504,procurement@udaipurbuild72.in,40200
73,"Kota V Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829010511,procurement@kotabuild73.in,40550
74,"Alwar W Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829010518,procurement@alwarbuild74.in,40900
75,"Ajmer X Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829010525,procurement@ajmerbuild75.in,41250
76,"Bhilwara Y Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829010532,procurement@bhilwarabuild76.in,41600
77,"Jaipur Z Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829010539,procurement@jaipurbuild77.in,41950
78,"Jodhpur A Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829010546,procurement@jodhpurbuild78.in,42300
79,"Udaipur B Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829010553,procurement@udaipurbuild79.in,42650
80,"Kota C Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829010560,procurement@kotabuild80.in,43000
81,"Alwar D Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829010567,procurement@alwarbuild81.in,43350
82,"Ajmer E Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829010574,procurement@ajmerbuild82.in,43700
83,"Bhilwara F Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829010581,procurement@bhilwarabuild83.in,44050
84,"Jaipur G Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829010588,procurement@jaipurbuild84.in,44400
85,"Jodhpur H Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829010595,procurement@jodhpurbuild85.in,44750
86,"Udaipur I Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829010602,procurement@udaipurbuild86.in,45100
87,"Kota J Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829010609,procurement@kotabuild87.in,45450
88,"Alwar K Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829010616,procurement@alwarbuild88.in,45800
89,"Ajmer L Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829010623,procurement@ajmerbuild89.in,46150
90,"Bhilwara M Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829010630,procurement@bhilwarabuild90.in,46500
91,"Jaipur N Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829010637,procurement@jaipurbuild91.in,46850
92,"Jodhpur O Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829010644,procurement@jodhpurbuild92.in,47200
93,"Udaipur P Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829010651,procurement@udaipurbuild93.in,47550
94,"Kota Q Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829010658,procurement@kotabuild94.in,47900
95,"Alwar R Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829010665,procurement@alwarbuild95.in,48250
96,"Ajmer S Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829010672,procurement@ajmerbuild96.in,48600
97,"Bhilwara T Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829010679,procurement@bhilwarabuild97.in,48950
98,"Jaipur U Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829010686,procurement@jaipurbuild98.in,49300
99,"Jodhpur V Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829010693,procurement@jodhpurbuild99.in,49650
100,"Udaipur W Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829010700,procurement@udaipurbuild100.in,50000
101,"Kota X Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829010707,procurement@kotabuild101.in,50350
102,"Alwar Y Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829010714,procurement@alwarbuild102.in,50700
103,"Ajmer Z Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829010721,procurement@ajmerbuild103.in,51050
104,"Bhilwara A Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829010728,procurement@bhilwarabuild104.in,51400
105,"Jaipur B Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829010735,procurement@jaipurbuild105.in,51750
106,"Jodhpur C Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829010742,procurement@jodhpurbuild106.in,52100
107,"Udaipur D Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829010749,procurement@udaipurbuild107.in,52450
108,"Kota E Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829010756,procurement@kotabuild108.in,52800
109,"Alwar F Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829010763,procurement@alwarbuild109.in,53150
110,"Ajmer G Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829010770,procurement@ajmerbuild110.in,53500
111,"Bhilwara H Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829010777,procurement@bhilwarabuild111.in,53850
112,"Jaipur I Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829010784,procurement@jaipurbuild112.in,54200
113,"Jodhpur J Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829010791,procurement@jodhpurbuild113.in,54550
114,"Udaipur K Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829010798,procurement@udaipurbuild114.in,54900
115,"Kota L Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829010805,procurement@kotabuild115.in,55250
116,"Alwar M Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829010812,procurement@alwarbuild116.in,55600
117,"Ajmer N Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829010819,procurement@ajmerbuild117.in,55950
118,"Bhilwara O Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829010826,procurement@bhilwarabuild118.in,56300
119,"Jaipur P Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829010833,procurement@jaipurbuild119.in,56650
120,"Jodhpur Q Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829010840,procurement@jodhpurbuild120.in,57000
121,"Udaipur R Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829010847,procurement@udaipurbuild121.in,57350
122,"Kota S Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829010854,procurement@kotabuild122.in,57700
123,"Alwar T Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829010861,procurement@alwarbuild123.in,58050
124,"Ajmer U Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829010868,procurement@ajmerbuild124.in,58400
125,"Bhilwara V Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829010875,procurement@bhilwarabuild125.in,58750
126,"Jaipur W Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829010882,procurement@jaipurbuild126.in,59100
127,"Jodhpur X Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829010889,procurement@jodhpurbuild127.in,59450
128,"Udaipur Y Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829010896,procurement@udaipurbuild128.in,59800
129,"Kota Z Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829010903,procurement@kotabuild129.in,60150
130,"Alwar A Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829010910,procurement@alwarbuild130.in,60500
131,"Ajmer B Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829010917,procurement@ajmerbuild131.in,60850
132,"Bhilwara C Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829010924,procurement@bhilwarabuild132.in,61200
133,"Jaipur D Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829010931,procurement@jaipurbuild133.in,61550
134,"Jodhpur E Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829010938,procurement@jodhpurbuild134.in,61900
135,"Udaipur F Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829010945,procurement@udaipurbuild135.in,62250
136,"Kota G Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829010952,procurement@kotabuild136.in,62600
137,"Alwar H Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829010959,procurement@alwarbuild137.in,62950
138,"Ajmer I Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829010966,procurement@ajmerbuild138.in,63300
139,"Bhilwara J Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829010973,procurement@bhilwarabuild139.in,63650
140,"Jaipur K Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829010980,procurement@jaipurbuild140.in,64000
141,"Jodhpur L Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829010987,procurement@jodhpurbuild141.in,64350
142,"Udaipur M Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829010994,procurement@udaipurbuild142.in,64700
143,"Kota N Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011001,procurement@kotabuild143.in,65050
144,"Alwar O Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829011008,procurement@alwarbuild144.in,65400
145,"Ajmer P Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011015,procurement@ajmerbuild145.in,65750
146,"Bhilwara Q Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829011022,procurement@bhilwarabuild146.in,66100
147,"Jaipur R Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829011029,procurement@jaipurbuild147.in,66450
148,"Jodhpur S Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829011036,procurement@jodhpurbuild148.in,66800
149,"Udaipur T Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011043,procurement@udaipurbuild149.in,67150
150,"Kota U Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829011050,procurement@kotabuild150.in,67500
151,"Alwar V Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011057,procurement@alwarbuild151.in,67850
152,"Ajmer W Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829011064,procurement@ajmerbuild152.in,68200
153,"Bhilwara X Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829011071,procurement@bhilwarabuild153.in,68550
154,"Jaipur Y Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829011078,procurement@jaipurbuild154.in,68900
155,"Jodhpur Z Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011085,procurement@jodhpurbuild155.in,69250
156,"Udaipur A Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829011092,procurement@udaipurbuild156.in,69600
157,"Kota B Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011099,procurement@kotabuild157.in,69950
158,"Alwar C Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829011106,procurement@alwarbuild158.in,70300
159,"Ajmer D Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829011113,procurement@ajmerbuild159.in,70650
160,"Bhilwara E Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829011120,procurement@bhilwarabuild160.in,71000
161,"Jaipur F Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011127,procurement@jaipurbuild161.in,71350
162,"Jodhpur G Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829011134,procurement@jodhpurbuild162.in,71700
