id,title,category,target_audience,hook_type,duration,cta_offer,created_at
"SC-MU6X9IY4-94","Seamless Accent Walls: Swatch Rustic Texture x Modern Minimalist Lighting","Architect Spec","Interior Decorators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:15:52.860Z"
"SC-MU6XAW7A-78","The Unboxing of Swatch Rustic: Finding the Sealed ₹50 Cash Token and Instant Scanning","Painters Club","Professional Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:16:56.638Z"
"SC-MU6XC9F4-35","Respect Ke Saath Mote Bhi Brand Zindagi Badhti Hai","Painters Club","Master Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:17:59.952Z"
"SC-MU6XDM9Q-71","30-Day Buyback Guarantee: Zero Risk New Product Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:19:03.816Z"
"SC-MU6XEZJG-25","30-Day Buyback Guarantee — Zero Risk Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:20:07.179Z"
"SC-MU6XGCFT-86","High-Build Texture vs Multi-Coat Putty: 2 Days Saved Visual Proof","Painters Club","Contractors & Applicators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:21:10.766Z"
"SC-MU6XHPHT-87","How Sunlight Bounces on Graded Quartz Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:22:14.349Z"
"SC-MU6XJ2JY-91","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:23:18.110Z"
"SC-MU6XKFQT-79","5 Saal Ka Stone Armor: Repainting Scam Ka Saaf Saal Solution","Homeowner Film","Homeowners Building Houses","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:24:22.271Z"
"SC-MU6XLT9X-36","Har Deewar Ka Pukka Vishwas: The Heritage and Craft Behind Rajasthan-Engineered Coatings","Homeowner Film","Families","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:25:26.283Z"
"SC-MU6XN6NQ-75","Why Respecting Applicators Builds a Lifelong Brand: Swatch Certified Painter Community","Painters Club","Master Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:26:30.176Z"
"SC-MU6XOJYO-69","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:27:33.959Z"
"SC-MU6XPX6E-83","Light Trails on Quartz: How Sun Moves Across Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:28:37.734Z"
"SC-MU6XRADX-53","Crack-Bridging Science: How High-Elongation Acrylic Polymers Stretch Over Structural Micro-Cracks","Science of Paints","Builders & Architects","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:29:41.960Z"
"SC-MU6XSNXL-41","Monsoon Mold Magic: Paint Chemistry That Keeps Walls Dry","Science of Paints","Homeowners & Builders","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:30:45.158Z"
"SC-MU6XU0P5-19","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:31:48.967Z"
"SC-MU6XVDY7-23","Notched Trowel vs Flat Float: Perfect Rustic Uniformity","Painters Club","Thekedaars & Contractors","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:32:52.869Z"
"SC-MU6XWR8X-51","5 Saal Ka Stone Armor: Repainting Scam Kyun Ho Sakta Hai?","Homeowner Film","Homeowners Building Houses","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:33:57.090Z"
"SC-MU6XY4T5-56","स्वतंत्र Accent Walls: Swatch Rustic Texture + Modern Minimalist Lighting","Architect Spec","Interior Decorators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:35:01.932Z"
"SC-MU6XZIU1-46","30-Day Buyback Guarantee: Zero Risk New Product Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:36:05.744Z"
"SC-MU6Y0W2B-37","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:37:09.410Z"
"SC-MU6Y2972-62","The Unboxing of Swatch Rustic: Finding the Sealed ₹50 Cash Token and Instant Scanning","Painters Club","Professional Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:38:13.429Z"
"SC-MU6Y3MLJ-13","Har Deewar Ka Pukka Vishwas: Rajasthan-Engineered Coatings Ke Saath","Homeowner Film","Families","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:39:17.736Z"
"SC-MU6Y507G-18","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:40:21.678Z"
"SC-MU6Y6DJP-51","Seamless Accent Walls: Swatch Rustic Texture x Minimalist Lighting","Architect Spec","Interior Decorators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:41:25.106Z"
"SC-MU6Y7QHU-67","30-Day Buyback Guarantee: Zero Risk New Product Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:42:29.895Z"
"SC-MU6Y94HH-30","Pre-Monsoon Wall Check: 3 Signs Your Wall Needs Protective Texture","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:43:34.534Z"
"SC-MU6YAICW-87","The Unboxing of Swatch Rustic: Finding the Sealed ₹50 Cash Token and Instant Scanning","Painters Club","Professional Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:44:38.108Z"
"SC-MU6YBVEP-31","Har Deewar Ka Pukka Vishwas: Rajasthan-Engineered Coatings","Homeowner Film","Families","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:45:41.916Z"
"SC-MU6YD8ND-75","Aesthetic Light Shadows: How Natural Graded Quartz Texture Interacts with Sunlight Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:46:45.359Z"
"SC-MU6YELLL-35","The Unboxing of Swatch Rustic: Find the Sealed ₹50 Cash Token & Scan It","Painters Club","Professional Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:47:49.031Z"
"SC-MU6YFYQ9-45","Seamless Accent Walls: Swatch Rustic Texture x Minimalist Lighting","Architect Spec","Interior Decorators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:48:53.571Z"
"SC-MU6YHCIS-70","Why Walls Sweat & How Polymers Lock It Forever","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:49:57.146Z"
"SC-MU6YIPLD-84","The Unboxing of Swatch Rustic: Cashing the ₹50 Token Live","Painters Club","Professional Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:51:00.753Z"
"SC-MU6YK2O2-41","Ready-To-Use Bags: Dealer Cash Flow Safety Net","Dealer Counter","Hardware & Paint Shop Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:52:04.610Z"
"SC-MU6YLFXG-69","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:53:10.107Z"
"SC-MU6YMUHD-10","30-Day Buyback Guarantee: Zero Risk New Product Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:54:13.889Z"
"SC-MU6YO7OL-61","30-Day Buyback Guarantee: Zero Risk New Product Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:55:17.728Z"
"SC-MU6YPKYG-71","Aesthetic Light Shadows: How Natural Graded Quartz Texture Plays with Sunlight on Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:56:21.312Z"
"SC-MU6YQY0F-49","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:57:25.843Z"
"SC-MU6YSBSN-87","High-Build Texture vs Multi-Coat Putty: 2 Days Saved Visual Proof","Painters Club","Contractors & Applicators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:58:29.272Z"
"SC-MU6YTOQS-46","30-Day Buyback Guarantee: Zero Risk New Product Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:59:32.931Z"
"SC-MU6YV1UX-34","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:00:36.615Z"
"SC-MU6YWF04-77","Notched Trowel vs Flat Float: Perfect Rustic Uniformity","Painters Club","Thekedaars & Contractors","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:01:40.863Z"
"SC-MU6YXSKM-62","Har Deewar Ka Pukka Vishwas: Rajasthan-Engineered Coating Ki Sachchi Kahani","Homeowner Film","Families","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:02:45.085Z"
"SC-MU6YZ64R-97","The True Cost of Space: Bulk Bags vs Heavy Machines","Dealer Counter","Hardware Retailers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:03:48.761Z"
"SC-MU6Z0J9M-53","Monsoon Magic: How Your Paint Fights Fungus","Science of Paints","Homeowners & Builders","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:04:52.928Z"
"SC-MU6Z1WRM-25","How Sunlight Gracefully Lives on Graded Quartz Textures","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:05:56.948Z"
"SC-MU6Z3A6F-62","Ready-to-Use Bags: Dealer Cash Flow Safety Net","Dealer Counter","Hardware & Paint Shop Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:07:00.634Z"
"SC-MU6Z4NB3-81","The Unboxing of Swatch Rustic: Find the Sealed ₹50 Cash Token & Scan It","Painters Club","Professional Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:08:04.281Z"
"SC-MU6Z60FL-47","Monsoon Mold Magic: How Your Paint Fights Fungus","Science of Paints","Homeowners & Builders","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:09:08.071Z"
"SC-MU6Z7DMY-78","Seamless Accent Walls: Swatch Rustic Texture x Modern Minimalist Lighting","Architect Spec","Interior Decorators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:10:13.135Z"
"SC-MU6Z8RUU-15","Pre-Monsoon Wall Check: 3 Signs Your Texture Needs Guard","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:11:17.881Z"
"SC-MU6ZA5T8-39","सुरुआत में दम तो फंसेगा: Swatch Rustic Texture + Minimalist Lighting","Architect Spec","Interior Decorators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:12:22.099Z"
"SC-MU6ZBJCS-20","Notched Trowel vs Flat Float: Perfect Rustic Uniformity","Painters Club","Thekedaars & Contractors","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:13:26.194Z"
"SC-MU6ZCWTB-46","High-Build Texture vs Multi-Coat Putty: 2 Days Saved","Painters Club","Contractors & Applicators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:14:29.851Z"
"SC-MU6ZE9XG-20","Aesthetic Light Shadows: How Natural Graded Quartz Texture Interacts with Sunlight Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:15:33.319Z"
"SC-MU6ZFMWJ-71","Why Walls Sweat Salt & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:16:37.535Z"
"SC-MU6ZH0GA-94","Pre-Monsoon Wall Check: 3 Signs Your Texture Needs Guard","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:17:41.464Z"
"SC-MU6ZIDRZ-52","Cash Discount Magic: How 2% in 7 Days Boosts Dealer ROCE","Dealer Counter","Paint Stockists","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:18:45.414Z"
"SC-MU6ZJR4D-61","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:19:49.393Z"
"SC-MU6ZL4HP-27","Ready-to-Use Bags: Dealer Cash Flow Safety Net","Dealer Counter","Hardware & Paint Shop Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:20:53.019Z"
"SC-MU6ZMHKX-16","Pre-Monsoon Wall Check: 3 Signs Your Texture Needs Guard","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:21:56.610Z"
"SC-MU6ZNUNH-18","The True Cost of Space: How Storing Bulk Bags Beats Heavy Machines","Dealer Counter","Hardware Retailers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:23:00.274Z"
"SC-MU6ZP7RU-19","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:24:04.827Z"
"SC-MU6ZQLKU-56","Why Walls Sweat & How Polymers Lock It Out","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:25:08.092Z"
"SC-MU6ZRYEB-11","Why Walls Sweat Salt & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:26:12.033Z"
"SC-MU6ZTBQL-32","2% Cash Discount Ka Power: Dealer ROCE Kaise Barhao?","Dealer Counter","Paint Stockists","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:27:16.268Z"
"SC-MU6ZUPAN-23","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:28:20.175Z"
"SC-MU6ZW2M2-63","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:29:24.124Z"
"SC-MU6ZXFYP-44","Har Deewar Ka Pukka Vishwas: Rajasthan-Engineered Coatings Ke Sath","Homeowner Film","Families","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:30:27.964Z"
"SC-MU6ZYT7N-75","2% Cash Discount Ka Power: Dealer ROCE Kaise Barhao?","Dealer Counter","Paint Stockists","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:31:31.963Z"
"SC-MU7006LF-31","2% Cash Discount Ka 7-Day Compound Effect Dealer ROCE Kaise Badhta Hai","Dealer Counter","Paint Stockists","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:32:35.944Z"
"SC-MU701JYM-59","Notched Trowel vs Flat Float: Kaunsa Texture Consistent Banega?","Painters Club","Thekedaars & Contractors","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:33:40.476Z"
"SC-MU702XR3-95","Aesthetic Light Shadows: How Natural Graded Quartz Texture Interacts with Sunlight Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:34:44.449Z"
"SC-MU704B4B-98","How Sunlight Reveals Graded Quartz Texture on Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:35:48.265Z"
"SC-MU705OD5-33","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:36:53.145Z"
"SC-MU7072FF-85","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:37:57.891Z"
"SC-MU708GDO-21","2% Cash Discount Ka Power: Dealer ROCE Kaise Barbaad Kare?","Dealer Counter","Paint Stockists","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T13:39:01.712Z"
