id,shop_name,owner_name,phone,city,market_area,full_address,business_type,estimated_monthly_bags
12,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010012,Jaipur,"Sanganer Market","Plot 22, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,134
13,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010013,Sikar,"Nawalgarh Road","Plot 23, Main Market, Nawalgarh Road, Sikar, Rajasthan",Exclusive Coating Dealer,141
14,"Sharma National Hardware & Paints",Gopal Sharma,+919414010014,Jhunjhunu,"Peeru Singh Circle","Plot 24, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,148
15,"Manu Marg Paint & Hardware Store",Rajesh Sharma,+919414010015,Alwar,"Manu Marg","Plot 25, Main Market, Manu Marg, Alwar, Rajasthan",Paint Retailer,155
16,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010016,Ajmer,"Parbatpura Industrial Area","Plot 26, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,162
17,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010017,Kota,"DCM Road","Plot 27, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,169
18,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010018,Jaipur,"Tonk Road","Plot 28, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,176
19,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010019,Sikar,"Salasar Bus Stand Market","Plot 29, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Texture & Putty Specialist,183
20,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010020,Jhunjhunu,"Gugali Market","Plot 30, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,190
21,"MIA Industrial Area Maruti Paints & Coating Traders",Dinesh Meena,+919414010021,Alwar,"MIA Industrial Area","Plot 31, Main Market, MIA Industrial Area, Alwar, Rajasthan",Hardware & Sanitary,197
22,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010022,Ajmer,"Parbatpura Industrial Area","Plot 32, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,204
23,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010023,Kota,"DCM Road","Plot 33, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,211
24,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010024,Jaipur,"Vaishali Nagar","Plot 34, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,218
25,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010025,Sikar,"Kotwali Market","Plot 35, Main Market, Kotwali Market, Sikar, Rajasthan",Paint Retailer,225
26,"Mittal Balaji Color World",Ashok Mittal,+919414010026,Jhunjhunu,"Mandawa Road","Plot 36, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,232
27,"Bhiwadi Alwar Bypass Vijay Paint & Plywood Stores",Kamal Verma,+919414010027,Alwar,"Bhiwadi Alwar Bypass","Plot 37, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Building Material Stockist,239
28,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010028,Ajmer,"Parbatpura Industrial Area","Plot 38, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,246
29,"Gopal National Hardware & Paints",Gopal Sharma,+919414010029,Kota,"DCM Road","Plot 39, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,253
30,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010030,Jaipur,"Mansarovar","Plot 40, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,260
31,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010031,Sikar,"Piprali Road","Plot 41, Main Market, Piprali Road, Sikar, Rajasthan",Hardware & Sanitary,267
32,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010032,Jhunjhunu,"Road No 1","Plot 42, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,274
33,"Neemrana Industrial Zone Hardware & Building Materials",Mukesh Gupta,+919414010033,Alwar,"Neemrana Industrial Zone","Plot 43, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Exclusive Coating Dealer,281
34,"Yadav Krishna Paint House",Ramesh Yadav,+919414010034,Ajmer,"Parbatpura Industrial Area","Plot 44, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,288
35,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010035,Kota,"DCM Road","Plot 45, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,295
36,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010036,Jaipur,"Malviya Nagar","Plot 46, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,302
37,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010037,Sikar,"Fatehpur Road","Plot 47, Main Market, Fatehpur Road, Sikar, Rajasthan",Building Material Stockist,309
38,"Jain Laxmi Paint Center",Pankaj Jain,+919414010038,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 48, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,316
39,"Delhi Gate Royal Paints & Texture Mart",Vinod Prajapat,+919414010039,Alwar,"Delhi Gate","Plot 49, Main Market, Delhi Gate, Alwar, Rajasthan",Texture & Putty Specialist,323
40,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010040,Ajmer,"Parbatpura Industrial Area","Plot 50, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,330
41,"Ashok Balaji Color World",Ashok Mittal,+919414010041,Kota,"DCM Road","Plot 51, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,337
42,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010042,Jaipur,"Sanganer Market","Plot 52, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,344
43,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010043,Sikar,"Bajoria Road","Plot 53, Main Market, Bajoria Road, Sikar, Rajasthan",Exclusive Coating Dealer,351
44,"Sharma National Hardware & Paints",Gopal Sharma,+919414010044,Jhunjhunu,"Peeru Singh Circle","Plot 54, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,358
45,"Hope Circus Paint & Hardware Store",Rajesh Sharma,+919414010045,Alwar,"Hope Circus","Plot 55, Main Market, Hope Circus, Alwar, Rajasthan",Paint Retailer,365
46,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010046,Ajmer,"Parbatpura Industrial Area","Plot 56, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,372
47,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010047,Kota,"DCM Road","Plot 57, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,379
48,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010048,Jaipur,"Tonk Road","Plot 58, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,386
49,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010049,Sikar,"Station Road","Plot 59, Main Market, Station Road, Sikar, Rajasthan",Texture & Putty Specialist,393
50,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010050,Jhunjhunu,"Gugali Market","Plot 60, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,50
51,"Company Bagh Road Maruti Paints & Coating Traders",Dinesh Meena,+919414010051,Alwar,"Company Bagh Road","Plot 61, Main Market, Company Bagh Road, Alwar, Rajasthan",Hardware & Sanitary,57
52,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010052,Ajmer,"Parbatpura Industrial Area","Plot 62, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,64
53,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010053,Kota,"DCM Road","Plot 63, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,71
54,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010054,Jaipur,"Vaishali Nagar","Plot 64, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,78
55,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010055,Sikar,"Nawalgarh Road","Plot 65, Main Market, Nawalgarh Road, Sikar, Rajasthan",Paint Retailer,85
56,"Mittal Balaji Color World",Ashok Mittal,+919414010056,Jhunjhunu,"Mandawa Road","Plot 66, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,92
57,"Manu Marg Vijay Paint & Plywood Stores",Kamal Verma,+919414010057,Alwar,"Manu Marg","Plot 67, Main Market, Manu Marg, Alwar, Rajasthan",Building Material Stockist,99
58,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010058,Ajmer,"Parbatpura Industrial Area","Plot 68, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,106
59,"Gopal National Hardware & Paints",Gopal Sharma,+919414010059,Kota,"DCM Road","Plot 69, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,113
60,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010060,Jaipur,"Mansarovar","Plot 70, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,120
61,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010061,Sikar,"Salasar Bus Stand Market","Plot 71, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Hardware & Sanitary,127
62,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010062,Jhunjhunu,"Road No 1","Plot 72, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,134
63,"MIA Industrial Area Hardware & Building Materials",Mukesh Gupta,+919414010063,Alwar,"MIA Industrial Area","Plot 73, Main Market, MIA Industrial Area, Alwar, Rajasthan",Exclusive Coating Dealer,141
64,"Yadav Krishna Paint House",Ramesh Yadav,+919414010064,Ajmer,"Parbatpura Industrial Area","Plot 74, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,148
65,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010065,Kota,"DCM Road","Plot 75, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,155
66,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010066,Jaipur,"Malviya Nagar","Plot 76, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,162
67,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010067,Sikar,"Kotwali Market","Plot 77, Main Market, Kotwali Market, Sikar, Rajasthan",Building Material Stockist,169
68,"Jain Laxmi Paint Center",Pankaj Jain,+919414010068,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 78, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,176
69,"Bhiwadi Alwar Bypass Royal Paints & Texture Mart",Vinod Prajapat,+919414010069,Alwar,"Bhiwadi Alwar Bypass","Plot 79, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Texture & Putty Specialist,183
70,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010070,Ajmer,"Parbatpura Industrial Area","Plot 80, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,190
71,"Ashok Balaji Color World",Ashok Mittal,+919414010071,Kota,"DCM Road","Plot 81, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,197
72,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010072,Jaipur,"Sanganer Market","Plot 82, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,204
73,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010073,Sikar,"Piprali Road","Plot 83, Main Market, Piprali Road, Sikar, Rajasthan",Exclusive Coating Dealer,211
74,"Sharma National Hardware & Paints",Gopal Sharma,+919414010074,Jhunjhunu,"Peeru Singh Circle","Plot 84, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,218
75,"Neemrana Industrial Zone Paint & Hardware Store",Rajesh Sharma,+919414010075,Alwar,"Neemrana Industrial Zone","Plot 85, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Paint Retailer,225
76,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010076,Ajmer,"Parbatpura Industrial Area","Plot 86, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,232
77,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010077,Kota,"DCM Road","Plot 87, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,239
78,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010078,Jaipur,"Tonk Road","Plot 88, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,246
79,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010079,Sikar,"Fatehpur Road","Plot 89, Main Market, Fatehpur Road, Sikar, Rajasthan",Texture & Putty Specialist,253
80,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010080,Jhunjhunu,"Gugali Market","Plot 90, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,260
81,"Delhi Gate Maruti Paints & Coating Traders",Dinesh Meena,+919414010081,Alwar,"Delhi Gate","Plot 91, Main Market, Delhi Gate, Alwar, Rajasthan",Hardware & Sanitary,267
82,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010082,Ajmer,"Parbatpura Industrial Area","Plot 92, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,274
83,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010083,Kota,"DCM Road","Plot 93, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,281
84,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010084,Jaipur,"Vaishali Nagar","Plot 94, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,288
85,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010085,Sikar,"Bajoria Road","Plot 95, Main Market, Bajoria Road, Sikar, Rajasthan",Paint Retailer,295
86,"Mittal Balaji Color World",Ashok Mittal,+919414010086,Jhunjhunu,"Mandawa Road","Plot 96, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,302
87,"Hope Circus Vijay Paint & Plywood Stores",Kamal Verma,+919414010087,Alwar,"Hope Circus","Plot 97, Main Market, Hope Circus, Alwar, Rajasthan",Building Material Stockist,309
88,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010088,Ajmer,"Parbatpura Industrial Area","Plot 98, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,316
89,"Gopal National Hardware & Paints",Gopal Sharma,+919414010089,Kota,"DCM Road","Plot 99, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,323
90,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010090,Jaipur,"Mansarovar","Plot 100, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,330
91,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010091,Sikar,"Station Road","Plot 101, Main Market, Station Road, Sikar, Rajasthan",Hardware & Sanitary,337
92,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010092,Jhunjhunu,"Road No 1","Plot 102, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,344
93,"Company Bagh Road Hardware & Building Materials",Mukesh Gupta,+919414010093,Alwar,"Company Bagh Road","Plot 103, Main Market, Company Bagh Road, Alwar, Rajasthan",Exclusive Coating Dealer,351
94,"Yadav Krishna Paint House",Ramesh Yadav,+919414010094,Ajmer,"Parbatpura Industrial Area","Plot 104, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,358
95,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010095,Kota,"DCM Road","Plot 105, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,365
96,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010096,Jaipur,"Malviya Nagar","Plot 106, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,372
97,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010097,Sikar,"Nawalgarh Road","Plot 107, Main Market, Nawalgarh Road, Sikar, Rajasthan",Building Material Stockist,379
98,"Jain Laxmi Paint Center",Pankaj Jain,+919414010098,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 108, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,386
99,"Manu Marg Royal Paints & Texture Mart",Vinod Prajapat,+919414010099,Alwar,"Manu Marg","Plot 109, Main Market, Manu Marg, Alwar, Rajasthan",Texture & Putty Specialist,393
100,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010100,Ajmer,"Parbatpura Industrial Area","Plot 110, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,50
101,"Ashok Balaji Color World",Ashok Mittal,+919414010101,Kota,"DCM Road","Plot 111, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,57
102,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010102,Jaipur,"Sanganer Market","Plot 112, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,64
103,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010103,Sikar,"Salasar Bus Stand Market","Plot 113, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Exclusive Coating Dealer,71
104,"Sharma National Hardware & Paints",Gopal Sharma,+919414010104,Jhunjhunu,"Peeru Singh Circle","Plot 114, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,78
105,"MIA Industrial Area Paint & Hardware Store",Rajesh Sharma,+919414010105,Alwar,"MIA Industrial Area","Plot 115, Main Market, MIA Industrial Area, Alwar, Rajasthan",Paint Retailer,85
106,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010106,Ajmer,"Parbatpura Industrial Area","Plot 116, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,92
107,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010107,Kota,"DCM Road","Plot 117, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,99
108,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010108,Jaipur,"Tonk Road","Plot 118, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,106
109,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010109,Sikar,"Kotwali Market","Plot 119, Main Market, Kotwali Market, Sikar, Rajasthan",Texture & Putty Specialist,113
110,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010110,Jhunjhunu,"Gugali Market","Plot 120, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,120
111,"Bhiwadi Alwar Bypass Maruti Paints & Coating Traders",Dinesh Meena,+919414010111,Alwar,"Bhiwadi Alwar Bypass","Plot 121, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Hardware & Sanitary,127
112,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010112,Ajmer,"Parbatpura Industrial Area","Plot 122, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,134
113,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010113,Kota,"DCM Road","Plot 123, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,141
114,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010114,Jaipur,"Vaishali Nagar","Plot 124, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,148
115,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010115,Sikar,"Piprali Road","Plot 125, Main Market, Piprali Road, Sikar, Rajasthan",Paint Retailer,155
116,"Mittal Balaji Color World",Ashok Mittal,+919414010116,Jhunjhunu,"Mandawa Road","Plot 126, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,162
117,"Neemrana Industrial Zone Vijay Paint & Plywood Stores",Kamal Verma,+919414010117,Alwar,"Neemrana Industrial Zone","Plot 127, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Building Material Stockist,169
118,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010118,Ajmer,"Parbatpura Industrial Area","Plot 128, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,176
119,"Gopal National Hardware & Paints",Gopal Sharma,+919414010119,Kota,"DCM Road","Plot 129, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,183
120,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010120,Jaipur,"Mansarovar","Plot 130, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,190
121,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010121,Sikar,"Fatehpur Road","Plot 131, Main Market, Fatehpur Road, Sikar, Rajasthan",Hardware & Sanitary,197
122,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010122,Jhunjhunu,"Road No 1","Plot 132, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,204
123,"Delhi Gate Hardware & Building Materials",Mukesh Gupta,+919414010123,Alwar,"Delhi Gate","Plot 133, Main Market, Delhi Gate, Alwar, Rajasthan",Exclusive Coating Dealer,211
124,"Yadav Krishna Paint House",Ramesh Yadav,+919414010124,Ajmer,"Parbatpura Industrial Area","Plot 134, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,218
125,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010125,Kota,"DCM Road","Plot 135, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,225
126,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010126,Jaipur,"Malviya Nagar","Plot 136, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,232
127,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010127,Sikar,"Bajoria Road","Plot 137, Main Market, Bajoria Road, Sikar, Rajasthan",Building Material Stockist,239
128,"Jain Laxmi Paint Center",Pankaj Jain,+919414010128,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 138, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,246
129,"Hope Circus Royal Paints & Texture Mart",Vinod Prajapat,+919414010129,Alwar,"Hope Circus","Plot 139, Main Market, Hope Circus, Alwar, Rajasthan",Texture & Putty Specialist,253
130,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010130,Ajmer,"Parbatpura Industrial Area","Plot 140, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,260
131,"Ashok Balaji Color World",Ashok Mittal,+919414010131,Kota,"DCM Road","Plot 141, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,267
132,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010132,Jaipur,"Sanganer Market","Plot 142, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,274
133,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010133,Sikar,"Station Road","Plot 143, Main Market, Station Road, Sikar, Rajasthan",Exclusive Coating Dealer,281
134,"Sharma National Hardware & Paints",Gopal Sharma,+919414010134,Jhunjhunu,"Peeru Singh Circle","Plot 144, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,288
135,"Company Bagh Road Paint & Hardware Store",Rajesh Sharma,+919414010135,Alwar,"Company Bagh Road","Plot 145, Main Market, Company Bagh Road, Alwar, Rajasthan",Paint Retailer,295
136,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010136,Ajmer,"Parbatpura Industrial Area","Plot 146, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,302
137,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010137,Kota,"DCM Road","Plot 147, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,309
138,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010138,Jaipur,"Tonk Road","Plot 148, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,316
139,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010139,Sikar,"Nawalgarh Road","Plot 149, Main Market, Nawalgarh Road, Sikar, Rajasthan",Texture & Putty Specialist,323
140,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010140,Jhunjhunu,"Gugali Market","Plot 150, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,330
141,"Manu Marg Maruti Paints & Coating Traders",Dinesh Meena,+919414010141,Alwar,"Manu Marg","Plot 151, Main Market, Manu Marg, Alwar, Rajasthan",Hardware & Sanitary,337
