id,shop_name,district,cluster_area,owner_name,phone,full_address,primary_category,estimated_monthly_volume
20,"Classic Shastri Colors & Coatings Agency",Jodhpur,"Shastri Nagar","Trader U Jodhpur",+919414000051,"Shop 35, Main Road, Shastri Nagar, Jodhpur, Rajasthan","Water-Based Paints & Hardware",300
21,"National Gumanpura Hardware & Building Materials",Kota,"Gumanpura","Trader V Kota",+919414000053,"Shop 36, Main Road, Gumanpura, Kota, Rajasthan","Water-Based Paints & Hardware",313
22,"Ganesh Bichhwal Wall Protect & Texture Depot",Bikaner,"Bichhwal Industrial Area","Trader W Bikaner",+919414000055,"Shop 37, Main Road, Bichhwal Industrial Area, Bikaner, Rajasthan","Water-Based Paints & Hardware",326
23,"Maruti Beawar Trade Associates",Ajmer,"Beawar City","Trader X Ajmer",+919414000057,"Shop 38, Main Road, Beawar City, Ajmer, Rajasthan","Water-Based Paints & Hardware",339
24,"Balaji Sukher Paints & Hardware Mart",Udaipur,"Sukher Industrial Area","Trader Y Udaipur",+919414000059,"Shop 39, Main Road, Sukher Industrial Area, Udaipur, Rajasthan","Water-Based Paints & Hardware",352
25,"Kalyan Bhopalganj Paint & Sanitary Store",Bhilwara,"Bhopalganj","Trader Z Bhilwara",+919414000061,"Shop 40, Main Road, Bhopalganj, Bhilwara, Rajasthan","Water-Based Paints & Hardware",365
26,"Krishna Company Colors & Coatings Agency",Alwar,"Company Bagh","Trader A Alwar",+919414000063,"Shop 41, Main Road, Company Bagh, Alwar, Rajasthan","Water-Based Paints & Hardware",378
27,"Vikas Piprali Hardware & Building Materials",Sikar,"Piprali Road","Trader B Sikar",+919414000065,"Shop 42, Main Road, Piprali Road, Sikar, Rajasthan","Water-Based Paints & Hardware",391
28,"Shree Gola Wall Protect & Texture Depot",Sri Ganganagar,"Gola Market","Trader C Sri Ganganagar",+919414000067,"Shop 43, Main Road, Gola Market, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",404
29,"Jai Circular Trade Associates",Bharatpur,"Circular Road","Trader D Bharatpur",+919414000069,"Shop 44, Main Road, Circular Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",417
30,"New Somnath Paints & Hardware Mart",Pali,"Somnath Temple Market","Trader E Pali",+919414000071,"Shop 45, Main Road, Somnath Temple Market, Pali, Rajasthan","Water-Based Paints & Hardware",430
31,"Royal Nimbahera Paint & Sanitary Store",Chittorgarh,"Nimbahera Town","Trader F Chittorgarh",+919414000073,"Shop 46, Main Road, Nimbahera Town, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",43
32,"Modern Didwana Colors & Coatings Agency",Nagaur,"Didwana Road","Trader G Nagaur",+919414000075,"Shop 47, Main Road, Didwana Road, Nagaur, Rajasthan","Water-Based Paints & Hardware",56
33,"Star Chirawa Hardware & Building Materials",Jhunjhunu,"Chirawa Road","Trader H Jhunjhunu",+919414000077,"Shop 48, Main Road, Chirawa Road, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",69
34,"Classic Civil Wall Protect & Texture Depot",Tonk,"Civil Lines","Trader I Tonk",+919414000079,"Shop 49, Main Road, Civil Lines, Tonk, Rajasthan","Water-Based Paints & Hardware",82
35,"National Rawatsar Trade Associates",Hanumangarh,"Rawatsar Road","Trader J Hanumangarh",+919414000081,"Shop 50, Main Road, Rawatsar Road, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",95
36,"Ganesh Lalsot Paints & Hardware Mart",Dausa,"Lalsot Road","Trader K Dausa",+919414000083,"Shop 51, Main Road, Lalsot Road, Dausa, Rajasthan","Water-Based Paints & Hardware",108
37,"Maruti Balotra Paint & Sanitary Store",Barmer,"Balotra Textile & Hardware Hub","Trader L Barmer",+919414000085,"Shop 52, Main Road, Balotra Textile & Hardware Hub, Barmer, Rajasthan","Water-Based Paints & Hardware",121
38,"Balaji Amer Colors & Coatings Agency",Jaipur,"Amer Road","Trader M Jaipur",+919414000087,"Shop 53, Main Road, Amer Road, Jaipur, Rajasthan","Water-Based Paints & Hardware",134
39,"Kalyan Boranada Hardware & Building Materials",Jodhpur,"Boranada SEZ","Trader N Jodhpur",+919414000089,"Shop 54, Main Road, Boranada SEZ, Jodhpur, Rajasthan","Water-Based Paints & Hardware",147
40,"Krishna DCM Wall Protect & Texture Depot",Kota,"DCM Road","Trader O Kota",+919414000091,"Shop 55, Main Road, DCM Road, Kota, Rajasthan","Water-Based Paints & Hardware",160
41,"Vikas Rani Trade Associates",Bikaner,"Rani Bazar Industrial Area","Trader P Bikaner",+919414000093,"Shop 56, Main Road, Rani Bazar Industrial Area, Bikaner, Rajasthan","Water-Based Paints & Hardware",173
42,"Shree Kutchery Paints & Hardware Mart",Ajmer,"Kutchery Road","Trader Q Ajmer",+919414000095,"Shop 57, Main Road, Kutchery Road, Ajmer, Rajasthan","Water-Based Paints & Hardware",186
43,"Jai Hiran Paint & Sanitary Store",Udaipur,"Hiran Magri","Trader R Udaipur",+919414000097,"Shop 58, Main Road, Hiran Magri, Udaipur, Rajasthan","Water-Based Paints & Hardware",199
44,"New Sanganer Colors & Coatings Agency",Bhilwara,"Sanganer Road","Trader S Bhilwara",+919414000099,"Shop 59, Main Road, Sanganer Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",212
45,"Royal Bhiwadi Hardware & Building Materials",Alwar,"Bhiwadi Industrial Zone","Trader T Alwar",+919414000101,"Shop 60, Main Road, Bhiwadi Industrial Zone, Alwar, Rajasthan","Water-Based Paints & Hardware",225
46,"Modern Kotwali Wall Protect & Texture Depot",Sikar,"Kotwali Market","Trader U Sikar",+919414000103,"Shop 61, Main Road, Kotwali Market, Sikar, Rajasthan","Water-Based Paints & Hardware",238
47,"Star Purani Trade Associates",Sri Ganganagar,"Purani Abadi","Trader V Sri Ganganagar",+919414000105,"Shop 62, Main Road, Purani Abadi, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",251
48,"Classic Mathura Paints & Hardware Mart",Bharatpur,"Mathura Road","Trader W Bharatpur",+919414000107,"Shop 63, Main Road, Mathura Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",264
49,"National Suraj Paint & Sanitary Store",Pali,"Suraj Pole","Trader X Pali",+919414000109,"Shop 64, Main Road, Suraj Pole, Pali, Rajasthan","Water-Based Paints & Hardware",277
50,"Ganesh Fort Colors & Coatings Agency",Chittorgarh,"Fort Road","Trader Y Chittorgarh",+919414000111,"Shop 65, Main Road, Fort Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",290
51,"Maruti Kuchaman Hardware & Building Materials",Nagaur,"Kuchaman City","Trader Z Nagaur",+919414000113,"Shop 66, Main Road, Kuchaman City, Nagaur, Rajasthan","Water-Based Paints & Hardware",303
52,"Balaji Peeru Wall Protect & Texture Depot",Jhunjhunu,"Peeru Singh Circle","Trader A Jhunjhunu",+919414000115,"Shop 67, Main Road, Peeru Singh Circle, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",316
53,"Kalyan Subhash Trade Associates",Tonk,"Subhash Chowk","Trader B Tonk",+919414000117,"Shop 68, Main Road, Subhash Chowk, Tonk, Rajasthan","Water-Based Paints & Hardware",329
54,"Krishna Industrial Paints & Hardware Mart",Hanumangarh,"Industrial Area","Trader C Hanumangarh",+919414000119,"Shop 69, Main Road, Industrial Area, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",342
55,"Vikas Agra Paint & Sanitary Store",Dausa,"Agra Road","Trader D Dausa",+919414000121,"Shop 70, Main Road, Agra Road, Dausa, Rajasthan","Water-Based Paints & Hardware",355
56,"Shree Station Colors & Coatings Agency",Barmer,"Station Road","Trader E Barmer",+919414000123,"Shop 71, Main Road, Station Road, Barmer, Rajasthan","Water-Based Paints & Hardware",368
57,"Jai Chomu Hardware & Building Materials",Jaipur,"Chomu","Trader F Jaipur",+919414000125,"Shop 72, Main Road, Chomu, Jaipur, Rajasthan","Water-Based Paints & Hardware",381
58,"New Sardarpura Wall Protect & Texture Depot",Jodhpur,"Sardarpura","Trader G Jodhpur",+919414000127,"Shop 73, Main Road, Sardarpura, Jodhpur, Rajasthan","Water-Based Paints & Hardware",394
59,"Royal Rampura Trade Associates",Kota,"Rampura","Trader H Kota",+919414000129,"Shop 74, Main Road, Rampura, Kota, Rajasthan","Water-Based Paints & Hardware",407
60,"Modern Kote Paints & Hardware Mart",Bikaner,"Kote Gate","Trader I Bikaner",+919414000131,"Shop 75, Main Road, Kote Gate, Bikaner, Rajasthan","Water-Based Paints & Hardware",420
61,"Star Madar Paint & Sanitary Store",Ajmer,"Madar Gate","Trader J Ajmer",+919414000133,"Shop 76, Main Road, Madar Gate, Ajmer, Rajasthan","Water-Based Paints & Hardware",433
62,"Classic Bapu Colors & Coatings Agency",Udaipur,"Bapu Bazar","Trader K Udaipur",+919414000135,"Shop 77, Main Road, Bapu Bazar, Udaipur, Rajasthan","Water-Based Paints & Hardware",46
63,"National Pur Hardware & Building Materials",Bhilwara,"Pur Road","Trader L Bhilwara",+919414000137,"Shop 78, Main Road, Pur Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",59
64,"Ganesh Neemrana Wall Protect & Texture Depot",Alwar,"Neemrana Japanese Zone","Trader M Alwar",+919414000139,"Shop 79, Main Road, Neemrana Japanese Zone, Alwar, Rajasthan","Water-Based Paints & Hardware",72
65,"Maruti Salasar Trade Associates",Sikar,"Salasar Bus Stand","Trader N Sikar",+919414000141,"Shop 80, Main Road, Salasar Bus Stand, Sikar, Rajasthan","Water-Based Paints & Hardware",85
66,"Balaji Birbal Paints & Hardware Mart",Sri Ganganagar,"Birbal Chowk","Trader O Sri Ganganagar",+919414000143,"Shop 81, Main Road, Birbal Chowk, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",98
67,"Kalyan Sewar Paint & Sanitary Store",Bharatpur,"Sewar Industrial Area","Trader P Bharatpur",+919414000145,"Shop 82, Main Road, Sewar Industrial Area, Bharatpur, Rajasthan","Water-Based Paints & Hardware",111
68,"Krishna Mandia Colors & Coatings Agency",Pali,"Mandia Road Industrial Area","Trader Q Pali",+919414000147,"Shop 83, Main Road, Mandia Road Industrial Area, Pali, Rajasthan","Water-Based Paints & Hardware",124
69,"Vikas Chanderiya Hardware & Building Materials",Chittorgarh,"Chanderiya Industrial Area","Trader R Chittorgarh",+919414000149,"Shop 84, Main Road, Chanderiya Industrial Area, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",137
70,"Shree Merta Wall Protect & Texture Depot",Nagaur,"Merta City","Trader S Nagaur",+919414000151,"Shop 85, Main Road, Merta City, Nagaur, Rajasthan","Water-Based Paints & Hardware",150
71,"Jai Gugali Trade Associates",Jhunjhunu,"Gugali Market","Trader T Jhunjhunu",+919414000153,"Shop 86, Main Road, Gugali Market, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",163
72,"New Niwai Paints & Hardware Mart",Tonk,"Niwai Industrial Area","Trader U Tonk",+919414000155,"Shop 87, Main Road, Niwai Industrial Area, Tonk, Rajasthan","Water-Based Paints & Hardware",176
73,"Royal Town Paint & Sanitary Store",Hanumangarh,"Town Main Bazaar","Trader V Hanumangarh",+919414000157,"Shop 88, Main Road, Town Main Bazaar, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",189
74,"Modern Bandikui Colors & Coatings Agency",Dausa,"Bandikui Mandi","Trader W Dausa",+919414000159,"Shop 89, Main Road, Bandikui Mandi, Dausa, Rajasthan","Water-Based Paints & Hardware",202
75,"Star Refinery Hardware & Building Materials",Barmer,"Refinery Site Corridor","Trader X Barmer",+919414000161,"Shop 90, Main Road, Refinery Site Corridor, Barmer, Rajasthan","Water-Based Paints & Hardware",215
76,"Classic Malviya Wall Protect & Texture Depot",Jaipur,"Malviya Nagar","Trader Y Jaipur",+919414000163,"Shop 91, Main Road, Malviya Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",228
77,"National Basni Trade Associates",Jodhpur,"Basni Industrial Area","Trader Z Jodhpur",+919414000165,"Shop 92, Main Road, Basni Industrial Area, Jodhpur, Rajasthan","Water-Based Paints & Hardware",241
78,"Ganesh Vigyan Paints & Hardware Mart",Kota,"Vigyan Nagar","Trader A Kota",+919414000167,"Shop 93, Main Road, Vigyan Nagar, Kota, Rajasthan","Water-Based Paints & Hardware",254
79,"Maruti Nokha Paint & Sanitary Store",Bikaner,"Nokha Road","Trader B Bikaner",+919414000169,"Shop 94, Main Road, Nokha Road, Bikaner, Rajasthan","Water-Based Paints & Hardware",267
80,"Balaji Clock Colors & Coatings Agency",Ajmer,"Clock Tower Market","Trader C Ajmer",+919414000171,"Shop 95, Main Road, Clock Tower Market, Ajmer, Rajasthan","Water-Based Paints & Hardware",280
81,"Kalyan Mewar Hardware & Building Materials",Udaipur,"Mewar Industrial Area","Trader D Udaipur",+919414000173,"Shop 96, Main Road, Mewar Industrial Area, Udaipur, Rajasthan","Water-Based Paints & Hardware",293
82,"Krishna Gandhi Wall Protect & Texture Depot",Bhilwara,"Gandhi Nagar","Trader E Bhilwara",+919414000175,"Shop 97, Main Road, Gandhi Nagar, Bhilwara, Rajasthan","Water-Based Paints & Hardware",306
83,"Vikas Tijara Trade Associates",Alwar,"Tijara Road","Trader F Alwar",+919414000177,"Shop 98, Main Road, Tijara Road, Alwar, Rajasthan","Water-Based Paints & Hardware",319
84,"Shree Station Paints & Hardware Mart",Sikar,"Station Road","Trader G Sikar",+919414000179,"Shop 99, Main Road, Station Road, Sikar, Rajasthan","Water-Based Paints & Hardware",332
85,"Jai Suratgarh Paint & Sanitary Store",Sri Ganganagar,"Suratgarh Road","Trader H Sri Ganganagar",+919414000181,"Shop 100, Main Road, Suratgarh Road, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",345
86,"New Kumher Colors & Coatings Agency",Bharatpur,"Kumher Gate","Trader I Bharatpur",+919414000183,"Shop 101, Main Road, Kumher Gate, Bharatpur, Rajasthan","Water-Based Paints & Hardware",358
87,"Royal Sumerpur Hardware & Building Materials",Pali,"Sumerpur Road","Trader J Pali",+919414000185,"Shop 102, Main Road, Sumerpur Road, Pali, Rajasthan","Water-Based Paints & Hardware",371
88,"Modern Collectorate Wall Protect & Texture Depot",Chittorgarh,"Collectorate Road","Trader K Chittorgarh",+919414000187,"Shop 103, Main Road, Collectorate Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",384
89,"Star Gandhi Trade Associates",Nagaur,"Gandhi Chowk","Trader L Nagaur",+919414000189,"Shop 104, Main Road, Gandhi Chowk, Nagaur, Rajasthan","Water-Based Paints & Hardware",397
90,"Classic Mandawa Paints & Hardware Mart",Jhunjhunu,"Mandawa Road","Trader M Jhunjhunu",+919414000191,"Shop 105, Main Road, Mandawa Road, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",410
91,"National Malpura Paint & Sanitary Store",Tonk,"Malpura Road","Trader N Tonk",+919414000193,"Shop 106, Main Road, Malpura Road, Tonk, Rajasthan","Water-Based Paints & Hardware",423
92,"Ganesh Junction Colors & Coatings Agency",Hanumangarh,"Junction Market","Trader O Hanumangarh",+919414000195,"Shop 107, Main Road, Junction Market, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",436
93,"Maruti Station Hardware & Building Materials",Dausa,"Station Road","Trader P Dausa",+919414000197,"Shop 108, Main Road, Station Road, Dausa, Rajasthan","Water-Based Paints & Hardware",49
94,"Balaji Sindhari Wall Protect & Texture Depot",Barmer,"Sindhari Road","Trader Q Barmer",+919414000199,"Shop 109, Main Road, Sindhari Road, Barmer, Rajasthan","Water-Based Paints & Hardware",62
95,"Kalyan Transport Trade Associates",Jaipur,"Transport Nagar","Trader R Jaipur",+919414000201,"Shop 110, Main Road, Transport Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",75
96,"Krishna Ratanada Paints & Hardware Mart",Jodhpur,"Ratanada","Trader S Jodhpur",+919414000203,"Shop 111, Main Road, Ratanada, Jodhpur, Rajasthan","Water-Based Paints & Hardware",88
97,"Vikas Mahaveer Paint & Sanitary Store",Kota,"Mahaveer Nagar","Trader T Kota",+919414000205,"Shop 112, Main Road, Mahaveer Nagar, Kota, Rajasthan","Water-Based Paints & Hardware",101
98,"Shree Sadul Colors & Coatings Agency",Bikaner,"Sadul Colony","Trader U Bikaner",+919414000207,"Shop 113, Main Road, Sadul Colony, Bikaner, Rajasthan","Water-Based Paints & Hardware",114
99,"Jai Parbatpura Hardware & Building Materials",Ajmer,"Parbatpura Industrial Area","Trader V Ajmer",+919414000209,"Shop 114, Main Road, Parbatpura Industrial Area, Ajmer, Rajasthan","Water-Based Paints & Hardware",127
100,"New Udaisagar Wall Protect & Texture Depot",Udaipur,"Udaisagar Road","Trader W Udaipur",+919414000211,"Shop 115, Main Road, Udaisagar Road, Udaipur, Rajasthan","Water-Based Paints & Hardware",140
101,"Royal RIICO Trade Associates",Bhilwara,"RIICO Industrial Area","Trader X Bhilwara",+919414000213,"Shop 116, Main Road, RIICO Industrial Area, Bhilwara, Rajasthan","Water-Based Paints & Hardware",153
102,"Modern MIA Paints & Hardware Mart",Alwar,"MIA Industrial Area","Trader Y Alwar",+919414000215,"Shop 117, Main Road, MIA Industrial Area, Alwar, Rajasthan","Water-Based Paints & Hardware",166
103,"Star Bajoria Paint & Sanitary Store",Sikar,"Bajoria Road","Trader Z Sikar",+919414000217,"Shop 118, Main Road, Bajoria Road, Sikar, Rajasthan","Water-Based Paints & Hardware",179
104,"Classic Padampur Colors & Coatings Agency",Sri Ganganagar,"Padampur Road","Trader A Sri Ganganagar",+919414000219,"Shop 119, Main Road, Padampur Road, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",192
105,"National Anah Hardware & Building Materials",Bharatpur,"Anah Gate","Trader B Bharatpur",+919414000221,"Shop 120, Main Road, Anah Gate, Bharatpur, Rajasthan","Water-Based Paints & Hardware",205
106,"Ganesh Somnath Wall Protect & Texture Depot",Pali,"Somnath Temple Market","Trader C Pali",+919414000223,"Shop 121, Main Road, Somnath Temple Market, Pali, Rajasthan","Water-Based Paints & Hardware",218
107,"Maruti Nimbahera Trade Associates",Chittorgarh,"Nimbahera Town","Trader D Chittorgarh",+919414000225,"Shop 122, Main Road, Nimbahera Town, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",231
108,"Balaji Makrana Paints & Hardware Mart",Nagaur,"Makrana Marble Zone","Trader E Nagaur",+919414000227,"Shop 123, Main Road, Makrana Marble Zone, Nagaur, Rajasthan","Water-Based Paints & Hardware",244
109,"Kalyan Khetri Paint & Sanitary Store",Jhunjhunu,"Khetri Nagar","Trader F Jhunjhunu",+919414000229,"Shop 124, Main Road, Khetri Nagar, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",257
110,"Krishna Civil Colors & Coatings Agency",Tonk,"Civil Lines","Trader G Tonk",+919414000231,"Shop 125, Main Road, Civil Lines, Tonk, Rajasthan","Water-Based Paints & Hardware",270
111,"Vikas Rawatsar Hardware & Building Materials",Hanumangarh,"Rawatsar Road","Trader H Hanumangarh",+919414000233,"Shop 126, Main Road, Rawatsar Road, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",283
112,"Shree Lalsot Wall Protect & Texture Depot",Dausa,"Lalsot Road","Trader I Dausa",+919414000235,"Shop 127, Main Road, Lalsot Road, Dausa, Rajasthan","Water-Based Paints & Hardware",296
113,"Jai Balotra Trade Associates",Barmer,"Balotra Textile & Hardware Hub","Trader J Barmer",+919414000237,"Shop 128, Main Road, Balotra Textile & Hardware Hub, Barmer, Rajasthan","Water-Based Paints & Hardware",309
114,"New Vaishali Paints & Hardware Mart",Jaipur,"Vaishali Nagar","Trader K Jaipur",+919414000239,"Shop 129, Main Road, Vaishali Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",322
115,"Royal Mandore Paint & Sanitary Store",Jodhpur,"Mandore Road","Trader L Jodhpur",+919414000241,"Shop 130, Main Road, Mandore Road, Jodhpur, Rajasthan","Water-Based Paints & Hardware",335
116,"Modern Borkhera Colors & Coatings Agency",Kota,"Borkhera","Trader M Kota",+919414000243,"Shop 131, Main Road, Borkhera, Kota, Rajasthan","Water-Based Paints & Hardware",348
117,"Star Bichhwal Hardware & Building Materials",Bikaner,"Bichhwal Industrial Area","Trader N Bikaner",+919414000245,"Shop 132, Main Road, Bichhwal Industrial Area, Bikaner, Rajasthan","Water-Based Paints & Hardware",361
118,"Classic Kishangarh Wall Protect & Texture Depot",Ajmer,"Kishangarh Marble Mandi","Trader O Ajmer",+919414000247,"Shop 133, Main Road, Kishangarh Marble Mandi, Ajmer, Rajasthan","Water-Based Paints & Hardware",374
119,"National Fatehpura Trade Associates",Udaipur,"Fatehpura","Trader P Udaipur",+919414000249,"Shop 134, Main Road, Fatehpura, Udaipur, Rajasthan","Water-Based Paints & Hardware",387
120,"Ganesh Bhopalganj Paints & Hardware Mart",Bhilwara,"Bhopalganj","Trader Q Bhilwara",+919414000251,"Shop 135, Main Road, Bhopalganj, Bhilwara, Rajasthan","Water-Based Paints & Hardware",400
121,"Maruti Manu Paint & Sanitary Store",Alwar,"Manu Marg","Trader R Alwar",+919414000253,"Shop 136, Main Road, Manu Marg, Alwar, Rajasthan","Water-Based Paints & Hardware",413
122,"Balaji Fatehpur Colors & Coatings Agency",Sikar,"Fatehpur Road","Trader S Sikar",+919414000255,"Shop 137, Main Road, Fatehpur Road, Sikar, Rajasthan","Water-Based Paints & Hardware",426
123,"Kalyan Gola Hardware & Building Materials",Sri Ganganagar,"Gola Market","Trader T Sri Ganganagar",+919414000257,"Shop 138, Main Road, Gola Market, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",439
124,"Krishna Circular Wall Protect & Texture Depot",Bharatpur,"Circular Road","Trader U Bharatpur",+919414000259,"Shop 139, Main Road, Circular Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",52
125,"Vikas Suraj Trade Associates",Pali,"Suraj Pole","Trader V Pali",+919414000261,"Shop 140, Main Road, Suraj Pole, Pali, Rajasthan","Water-Based Paints & Hardware",65
126,"Shree Fort Paints & Hardware Mart",Chittorgarh,"Fort Road","Trader W Chittorgarh",+919414000263,"Shop 141, Main Road, Fort Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",78
127,"Jai Didwana Paint & Sanitary Store",Nagaur,"Didwana Road","Trader X Nagaur",+919414000265,"Shop 142, Main Road, Didwana Road, Nagaur, Rajasthan","Water-Based Paints & Hardware",91
128,"New Chirawa Colors & Coatings Agency",Jhunjhunu,"Chirawa Road","Trader Y Jhunjhunu",+919414000267,"Shop 143, Main Road, Chirawa Road, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",104
129,"Royal Subhash Hardware & Building Materials",Tonk,"Subhash Chowk","Trader Z Tonk",+919414000269,"Shop 144, Main Road, Subhash Chowk, Tonk, Rajasthan","Water-Based Paints & Hardware",117
130,"Modern Industrial Wall Protect & Texture Depot",Hanumangarh,"Industrial Area","Trader A Hanumangarh",+919414000271,"Shop 145, Main Road, Industrial Area, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",130
131,"Star Agra Trade Associates",Dausa,"Agra Road","Trader B Dausa",+919414000273,"Shop 146, Main Road, Agra Road, Dausa, Rajasthan","Water-Based Paints & Hardware",143
132,"Classic Station Paints & Hardware Mart",Barmer,"Station Road","Trader C Barmer",+919414000275,"Shop 147, Main Road, Station Road, Barmer, Rajasthan","Water-Based Paints & Hardware",156
133,"National Jhotwara Paint & Sanitary Store",Jaipur,"Jhotwara","Trader D Jaipur",+919414000277,"Shop 148, Main Road, Jhotwara, Jaipur, Rajasthan","Water-Based Paints & Hardware",169
134,"Ganesh Pal Colors & Coatings Agency",Jodhpur,"Pal Road","Trader E Jodhpur",+919414000279,"Shop 149, Main Road, Pal Road, Jodhpur, Rajasthan","Water-Based Paints & Hardware",182
